Student Name,Student_ID,Previous Course selected,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 5720,86589,Arduino,Drone Technology & Aerodynamics,Iraq,Gulf Indian High School,Male,9.0,offline,24,Technology,2,Game Development,5
student 5721,30469,3D Designing and Printing,LEGO Robotics,Uruguay,Gulf Indian High School,Female,9.0,hybrid,48,Art,3,Game Development,5
student 5722,44342,Internet of Things,Artificial Intelligence for Non Programmers,KSA,Gulf Indian High School,Male,8.0,offline,8,Mathematics,1,Graphics Designing,4
student 5723,23174,Virtual Robotics,3D Designing & Modelling,Cuba,English Language Private School,Female,10.0,offline,24,Mathematics,2,Technology Innovative Learning,4
student 5724,58311,3D Designing and Printing,Scratch Coding,China,English Language Private School,Male,10.0,hybrid,48,Art,3,3D Designing,4
student 5725,63559,Young Innovator,Python Programming,Iraq,English Language Private School,Female,9.0,hybrid,24,Sports,2,AI,5
student 5726,86423,Game and App Development,Graphic Designing,United Kingdom,English Language Private School,Female,9.0,hybrid,8,Sports,1,Coding for kids,3
student 5727,62314,Young Innovator,Graphic Designing,Pakistan,English Language Private School,Male,10.0,online,8,Mathematics,1,Python,3
student 5728,86308,Metaverse,Robotics,Egypt,Gulf Indian High School,Female,8.0,hybrid,24,Music,2,Graphics Designing,3
student 5729,21581,STEM Jr,Game Development with Unity,Venezuela,English Language Private School,Male,6.0,online,48,Technology,3,Graphics Designing,3
student 5730,68084,Game Development - Microsoft Arcade,Graphic Designing,IndiaSpain,English Language Private School,Female,6.0,offline,24,Music,2,Coding for kids,5
student 5731,40340,Young Coder,Game Development - Microsoft Arcade,KSA,Gulf Indian High School,Male,9.0,offline,96,Sports,4,Technology Innovative Learning,5
student 5732,72667,Artificial Intelligence & Machine Learning,Virtual Robotics & Mechatronics,United Kingdom,English Language Private School,Male,8.0,hybrid,8,Technology,1,Coding for kids,3
student 5733,11524,Young Coder,Graphic Designing,IndiaSpain,Gulf Indian High School,Male,9.0,offline,24,Science,2,Robotics Innovative Learning,4
student 5734,27686,Young App Developer,Technology Innovative Learning,Russia,Gulf Indian High School,Female,8.0,online,24,Sports,2,App Development,4
student 5735,53400,Augmented & Virtual Reality,Virtual Robotics & Mechatronics,Nigeria,Gulf Indian High School,Male,7.0,hybrid,48,Mathematics,3,Graphics Designing,3
student 5736,22302,C++ Programming,Artificial Intelligence for Non Programmers,Ukraine,Gulf Indian High School,Female,8.0,hybrid,8,Mathematics,1,Technology Innovative Learning,5
student 5737,93743,Game Development - Block-Based,Graphic Designing,Venezuela,English Language Private School,Male,8.0,hybrid,24,Science,2,Technology Innovative Learning,3
student 5738,84910,Game Development - Microsoft Arcade,Artificial Intelligence & Machine Learning,Ukraine,English Language Private School,Male,6.0,offline,48,Science,3,App Development,4
student 5739,21908,HTML Programming,Young Innovator,Pakistan,Gulf Indian High School,Male,9.0,hybrid,24,Mathematics,2,Robotics Innovative Learning,3
student 5740,76719,Robotics,Augmented & Virtual Reality,New Zealand,English Language Private School,Female,9.0,hybrid,24,Technology,2,3D Designing,3
student 5741,89733,Young Web Developer,3D Designing and Printing,India,English Language Private School,Female,10.0,offline,24,Technology,2,AI,5
student 5742,68984,Technology Innovative Learning,Game Development - Block-Based,Egypt,Gulf Indian High School,Male,8.0,online,48,Art,3,Python,5
student 5743,31926,3D Designing,STEM Sr,Malaysia,Gulf Indian High School,Male,8.0,online,48,Art,3,App Development,3
student 5744,58266,Graphic Designing & Animation,Artificial Intelligence,Venezuela,Gulf Indian High School,Female,10.0,offline,48,Sports,3,Technology Innovative Learning,4
student 5745,25010,Artificial Intelligence & Machine Learning,Data Science,Pakistan,Gulf Indian High School,Male,9.0,online,48,Sports,3,App Development,4
student 5746,52728,Game Development,Data Science,Kuwait,Gulf Indian High School,Male,9.0,online,48,Art,3,App Development,4
student 5747,68687,STEM Sr,Game Development - Microsoft Arcade,Canada,Gulf Indian High School,Male,6.0,online,48,Mathematics,3,Python,5
student 5748,96185,Graphic Designing,Artificial Intelligence & Machine Learning,Poland,Gulf Indian High School,Male,9.0,offline,24,Music,2,AI,3
student 5749,57273,Young Innovator,Drone Technology,United Kingdom,Gulf Indian High School,Male,6.0,offline,48,Music,3,Python,4
student 5750,29697,Robotics,Graphic Designing,Jordan,Gulf Indian High School,Male,6.0,hybrid,48,Sports,3,Coding for kids,3
student 5751,81051,C Programming,3D Designing,Afghanistan,Gulf Indian High School,Male,9.0,hybrid,24,Sports,2,App Development,5
student 5752,67529,Young Product Designer,STEM Sr,Uruguay,Gulf Indian High School,Male,8.0,online,24,Mathematics,2,Game Development,3
student 5753,53759,App Development,Young Coder,Uganda,Gulf Indian High School,Female,8.0,offline,48,Sports,3,Robotics Innovative Learning,3
student 5754,79824,App Development,Drone Technology,Pakistan,Gulf Indian High School,Female,8.0,hybrid,48,Sports,3,Coding for kids,3
student 5755,58434,STEM Sr,Artificial Intelligence of Things (AIoT),Canada,Gulf Indian High School,Female,6.0,hybrid,24,Art,2,Coding for kids,5
student 5756,72835,Young Honcho,Technology Innovative Learning,Qatar,Gulf Indian High School,Male,6.0,online,24,Technology,2,Python,4
student 5757,39720,App Design and Development,Game Development,Armenia,Gulf Indian High School,Male,8.0,online,24,Mathematics,2,Technology Innovative Learning,4
student 5758,29911,Arduino,Technology Innovative Learning,Pakistan,Gulf Indian High School,Female,7.0,offline,96,Technology,4,Robotics Innovative Learning,3
student 5759,92057,Young Product Designer,Python Programming,Uganda,Gulf Indian High School,Female,6.0,offline,96,Sports,4,App Development,4
student 5760,38587,Public Speaking & Entrepreneurship,Space STEM,Switzerland,Gulf Indian High School,Female,6.0,offline,24,Music,2,Python,5
student 5761,12851,Public Speaking & Entrepreneurship,C Programming,Oman,Gulf Indian High School,Male,6.0,online,48,Science,3,AI,4
student 5762,30376,3D Designing and Printing,Game Development - Microsoft Arcade,Palestine,Gulf Indian High School,Male,6.0,offline,96,Technology,4,Graphics Designing,4
student 5763,66215,Augmented & Virtual Reality,C Programming,Switzerland,Gulf Indian High School,Male,6.0,offline,48,Science,3,Robotics Innovative Learning,4
student 5764,98263,Data Science,Virtual Robotics & Mechatronics,KSA,Gulf Indian High School,Female,7.0,online,96,Science,4,3D Designing,5
student 5765,58889,Design Thinking and Entrepreneur Program,Artificial Intelligence,Iraq,Gulf Indian High School,Female,7.0,hybrid,24,Science,2,Coding for kids,3
student 5766,54263,App Design and Development,Metaverse,Turkey,Gulf Indian High School,Female,6.0,hybrid,48,Technology,3,Robotics Innovative Learning,4
student 5767,55041,Young Entrepreneur,Artificial Intelligence & Machine Learning,Cameroon,Gulf Indian High School,Female,9.0,offline,48,Music,3,Coding for kids,3
student 5768,72229,Young Data Scientist,C Programming,KSA,Gulf Indian High School,Female,6.0,offline,96,Sports,4,App Development,3
student 5769,53101,App Design and Development,Young Designer,United Kingdom,Gulf Indian High School,Female,7.0,online,8,Science,1,Technology Innovative Learning,4
student 5770,41485,Augmented & Virtual Reality,Virtual Robotics & Mechatronics,Iraq,Gulf Indian High School,Male,8.0,online,24,Mathematics,2,Python,5
student 5771,84938,Young Game Developer,VEX Robotics,New Zealand,Gulf Indian High School,Male,8.0,hybrid,8,Music,1,Coding for kids,3
student 5772,73311,Metaverse,C Programming,United Arab Emirates,Gulf Indian High School,Female,6.0,offline,24,Mathematics,2,Robotics Innovative Learning,3
student 5773,28498,Public Speaking & Entrepreneurship,Young Game Developer,Taiwan,Gulf Indian High School,Male,8.0,hybrid,96,Mathematics,4,Python,4
student 5774,27365,Young Coder,C Programming,Jordan,English Language Private School,Male,7.0,hybrid,96,Sports,4,Python,3
student 5775,64852,Virtual Robotics,Technology Innovative Learning,Jordan,Gulf Indian High School,Female,7.0,online,24,Music,2,Technology Innovative Learning,5
student 5776,57129,Virtual Robotics & Mechatronics,Robotics,Taiwan,Gulf Indian High School,Male,6.0,offline,24,Sports,2,App Development,3
student 5777,24930,Graphic Designing & Animation,C++ Programming,Afghanistan,Gulf Indian High School,Male,7.0,online,24,Sports,2,Game Development,4
student 5778,63625,C Programming,Game Development - Microsoft Arcade,Kuwait,Gulf Indian High School,Female,7.0,online,96,Technology,4,Python,5
student 5779,90018,Internet of Things,LEGO Robotics,United Arab Emirates,Gulf Indian High School,Male,7.0,online,24,Technology,2,Robotics Innovative Learning,3
student 5780,51397,Data Analysis with Python,STEM Sr,Singapore,Gulf Indian High School,Male,8.0,offline,8,Music,1,Technology Innovative Learning,3
student 5781,23333,Artificial Intelligence of Things (AIoT),Graphic Designing,KSA,Gulf Indian High School,Female,9.0,online,24,Art,2,App Development,3
student 5782,76318,Graphic Designing & Animation,Space STEM,Qatar,English Language Private School,Male,7.0,offline,24,Mathematics,2,Python,3
student 5783,19311,Young Entrepreneur,C Programming,Poland,Gulf Indian High School,Male,6.0,online,96,Music,4,Graphics Designing,3
student 5784,15352,Game Development - Block-Based,VEX Robotics,Kuwait,Gulf Indian High School,Male,8.0,online,8,Sports,1,Game Development,5
student 5785,71335,3D Designing & Modelling,Game Development - Microsoft Arcade,Singapore,Gulf Indian High School,Male,9.0,online,48,Mathematics,3,Python,3
student 5786,23964,JAVA,C++ Programming,United Arab Emirates,Gulf Indian High School,Female,8.0,online,48,Mathematics,3,App Development,3
student 5787,10579,Drone Technology,Robotics,United Arab Emirates,Gulf Indian High School,Female,9.0,online,48,Sports,3,Robotics Innovative Learning,3
student 5788,52141,Internet of Things,Design Thinking and Entrepreneur Program,Saudi Arabia,Gulf Indian High School,Female,9.0,hybrid,48,Technology,3,Coding for kids,3
student 5789,55156,Graphic Designing & Animation,Game Development,Qatar,Gulf Indian High School,Female,8.0,online,8,Sports,1,App Development,5
student 5790,54533,VEX Robotics,Space STEM,Pakistan,Gulf Indian High School,Male,7.0,hybrid,48,Technology,3,AI,3
student 5791,97616,App Design and Development,Game Development,United States,Gulf Indian High School,Male,8.0,online,96,Sports,4,Python,4
student 5792,29201,Young Web Developer,Technology Innovative Learning,United Kingdom,Gulf Indian High School,Female,10.0,hybrid,24,Music,2,Coding for kids,4
student 5793,73055,C++ Programming,Young Game Developer,Singapore,Gulf Indian High School,Male,8.0,hybrid,8,Sports,1,Python,3
student 5794,83794,Young Web Developer,Young Data Scientist,Uganda,Gulf Indian High School,Female,8.0,hybrid,24,Art,2,Robotics Innovative Learning,4
student 5795,53319,Young Coder,Space STEM,India,Gulf Indian High School,Male,8.0,hybrid,48,Art,3,Game Development,4
student 5796,53836,App Development,C Programming,Poland,Gulf Indian High School,Female,6.0,hybrid,24,Art,2,Coding for kids,5
student 5797,17105,French Language Course,Drone Technology,Canada,Gulf Indian High School,Female,7.0,online,48,Science,3,AI,5
student 5798,22809,Virtual Robotics & Mechatronics,Drone Technology & Aerodynamics,Canada,Gulf Indian High School,Female,7.0,offline,8,Mathematics,1,Graphics Designing,4
student 5799,15280,Data Analysis with Python,Metaverse,India,Gulf Indian High School,Female,7.0,hybrid,96,Science,4,Technology Innovative Learning,3
student 5800,79024,Young Entrepreneur,Young Data Scientist,Egypt,Gulf Indian High School,Male,8.0,online,96,Technology,4,Coding for kids,3
student 5801,74747,Artificial Intelligence for Non Programmers,Technology Innovative Learning,Egypt,Gulf Indian High School,Male,7.0,online,96,Science,4,Game Development,3
student 5802,89318,App Development,Game Development - Microsoft Arcade,Iran (Islamic Republic of),Gulf Indian High School,Female,9.0,online,24,Sports,2,AI,5
student 5803,64825,Young Data Scientist,Data Science,Jordan,Gulf Indian High School,Female,8.0,online,48,Science,3,Robotics Innovative Learning,4
student 5804,91890,Arduino,App Development,India,Gulf Indian High School,Female,7.0,offline,96,Science,4,Robotics Innovative Learning,3
student 5805,36190,Drone Technology,JAVA,Palestine,Gulf Indian High School,Male,9.0,offline,48,Sports,3,Game Development,5
student 5806,22327,Internet of Things,Artificial Intelligence & Machine Learning,IndiaSpain,Gulf Indian High School,Male,7.0,offline,48,Mathematics,3,Graphics Designing,4
student 5807,78804,LEGO Robotics,Game Development - Block-Based,Saudi Arabia,Gulf Indian High School,Female,7.0,hybrid,24,Science,2,Graphics Designing,3
student 5808,99271,Design Thinking and Entrepreneur Program,Drone Technology & Aerodynamics,Canada,Gulf Indian High School,Male,7.0,hybrid,48,Music,3,Technology Innovative Learning,4
student 5809,43750,App Development,Scratch Coding,USA,Gulf Indian High School,Female,7.0,hybrid,24,Technology,2,Coding for kids,4
student 5810,59409,Data Analysis with Python,HTML Programming,Turkey,Gulf Indian High School,Male,7.0,online,48,Art,3,Game Development,3
student 5811,15637,App Development,VEX Robotics,Iran (Islamic Republic of),Gulf Indian High School,Female,7.0,hybrid,24,Sports,2,Graphics Designing,5
student 5812,57072,Public Speaking & Entrepreneurship,App Development,Switzerland,Gulf Indian High School,Female,8.0,hybrid,24,Mathematics,2,Robotics Innovative Learning,4
student 5813,17653,Robotics,Metaverse,UAE,Gulf Indian High School,Female,8.0,offline,48,Music,3,App Development,4
student 5814,43737,Graphic Designing & Animation,Drone Technology & Aerodynamics,KSA,Gulf Indian High School,Male,7.0,hybrid,24,Sports,2,Coding for kids,4
student 5815,62948,Young Designer,Artificial Intelligence,Cook Islands,Gulf Indian High School,Female,8.0,online,24,Sports,2,App Development,3
student 5816,25997,Arduino,Robotics,Taiwan,Gulf Indian High School,Male,9.0,hybrid,24,Sports,2,App Development,4
student 5817,36726,VEX Robotics,Virtual Robotics,Canada,Gulf Indian High School,Male,8.0,online,24,Art,2,App Development,3
student 5818,58094,VEX Robotics,C Programming,Cook Islands,Gulf Indian High School,Male,8.0,hybrid,96,Art,4,Robotics Innovative Learning,3
student 5819,74805,Public Speaking & Entrepreneurship,Technology Innovative Learning,Ireland,Gulf Indian High School,Male,7.0,hybrid,48,Technology,3,Coding for kids,5
student 5820,26484,Technology Innovative Learning,Web Development,Cuba,Gulf Indian High School,Male,7.0,offline,48,Art,3,Python,5
student 5821,74653,Augmented & Virtual Reality,Drone Technology & Aerodynamics,Ukraine,Gulf Indian High School,Male,8.0,hybrid,48,Art,3,Graphics Designing,3
student 5822,50205,Artificial Intelligence & Machine Learning,Python Programming,Korea,Gulf Indian High School,Male,9.0,online,48,Music,3,Robotics Innovative Learning,3
student 5823,59974,Virtual Robotics & Mechatronics,Virtual Robotics & Mechatronics,Egypt,Gulf Indian High School,Female,8.0,offline,48,Technology,3,AI,5
student 5824,68513,Data Analysis with Python,Game Development,China,Gulf Indian High School,Male,8.0,offline,48,Mathematics,3,Game Development,3
student 5825,59442,3D Designing & Modelling,Game Development - Microsoft Arcade,Turkey,Gulf Indian High School,Male,9.0,online,48,Sports,3,Python,4
student 5826,84666,Artificial Intelligence of Things (AIoT),Scratch Coding,Switzerland,Gulf Indian High School,Female,10.0,online,48,Technology,3,Graphics Designing,4
student 5827,90831,Arduino,App Development,Egypt,Gulf Indian High School,Male,8.0,offline,48,Mathematics,3,Coding for kids,5
student 5828,15247,Design Thinking and Entrepreneur Program,Graphic Designing & Animation,Poland,Gulf Indian High School,Female,10.0,online,48,Science,3,Robotics Innovative Learning,5
student 5829,15970,Game and App Development,Robotics,Egypt,Gulf Indian High School,Female,9.0,hybrid,24,Technology,2,AI,4
student 5830,82480,STEM Sr,Virtual Robotics & Mechatronics,New Zealand,Gulf Indian High School,Female,9.0,offline,8,Science,1,3D Designing,5
student 5831,26602,Young Designer,Game Development with Unity,Pakistan,English Language Private School,Male,9.0,hybrid,24,Mathematics,2,3D Designing,3
student 5832,80278,STEM Jr,Scratch Coding,Russia,English Language Private School,Male,6.0,online,96,Mathematics,4,Game Development,3
student 5833,22247,3D Designing and Printing,Scratch Coding,Switzerland,English Language Private School,Female,6.0,hybrid,8,Mathematics,1,App Development,4
student 5834,76495,HTML Programming,Young Data Scientist,United Kingdom,English Language Private School,Female,6.0,online,24,Mathematics,2,Coding for kids,3
student 5835,99278,Electronics Program,Game and App Development,Bosnia and Herzegovina,English Language Private School,Female,8.0,hybrid,48,Mathematics,3,Game Development,3
student 5836,55950,Electronics Program,Technology Innovative Learning,Afghanistan,English Language Private School,Female,8.0,offline,48,Art,3,Game Development,4
student 5837,59977,Technology Innovative Learning,Graphic Designing & Animation,Jordan,English Language Private School,Male,10.0,online,96,Technology,4,Python,5
student 5838,86296,Public Speaking & Entrepreneurship,App Design and Development,New Zealand,English Language Private School,Female,9.0,offline,48,Sports,3,3D Designing,3
student 5839,61942,Young Designer,Game and App Development,Turkey,English Language Private School,Male,8.0,offline,24,Science,2,AI,4
student 5840,96506,LEGO Robotics,STEM Sr,India,English Language Private School,Female,8.0,online,96,Music,4,Robotics Innovative Learning,4
student 5841,26411,Metaverse,Scratch Coding,Singapore,English Language Private School,Female,10.0,online,8,Science,1,Robotics Innovative Learning,3
student 5842,43161,Scratch Coding,Internet of Things,Oman,English Language Private School,Male,10.0,offline,24,Mathematics,2,Python,3
student 5843,86650,3D Designing,App Design and Development,Russia,English Language Private School,Male,10.0,online,24,Sports,2,Game Development,5
student 5844,80974,Public Speaking & Entrepreneurship,Graphic Designing,Poland,English Language Private School,Female,8.0,online,8,Music,1,App Development,5
student 5845,63522,Game Development - Microsoft Arcade,Python Programming,USA,English Language Private School,Male,9.0,hybrid,48,Art,3,3D Designing,5
student 5846,35580,Game Development,VEX Robotics,Qatar,Gulf Indian High School,Female,8.0,offline,48,Technology,3,App Development,5
student 5847,93500,Design Thinking and Entrepreneur Program,Internet of Things,Palestine,English Language Private School,Female,9.0,offline,24,Art,2,Coding for kids,3
student 5848,61916,Game Development - Microsoft Arcade,Young Innovator,Nigeria,Gulf Indian High School,Male,9.0,hybrid,24,Mathematics,2,3D Designing,3
student 5849,47955,Public Speaking & Entrepreneurship,Augmented & Virtual Reality,Venezuela,Gulf Indian High School,Female,9.0,hybrid,96,Science,4,3D Designing,3
student 5850,36871,Young Entrepreneur,Technology Innovative Learning,Bahrain,English Language Private School,Male,10.0,offline,96,Music,4,AI,3
student 5851,43849,Internet of Things,App Development,China,English Language Private School,Female,8.0,offline,24,Science,2,Technology Innovative Learning,5
student 5852,53083,Young Data Scientist,HTML Programming,Cook Islands,English Language Private School,Female,10.0,online,8,Technology,1,Graphics Designing,3
student 5853,54243,App Development,Data Analysis with Python,Iraq,English Language Private School,Male,8.0,offline,24,Music,2,Technology Innovative Learning,4
student 5854,60393,Artificial Intelligence,Young Coder,KSA,Gulf Indian High School,Female,8.0,online,24,Sports,2,Graphics Designing,4
student 5855,94744,Young Entrepreneur,Young App Developer,Uganda,English Language Private School,Male,8.0,hybrid,48,Science,3,Python,5
student 5856,87039,Graphic Designing & Animation,Python Programming,Egypt,English Language Private School,Male,8.0,hybrid,8,Sports,1,Python,3
student 5857,62053,Data Analysis with Python,Python Programming,Cook Islands,English Language Private School,Male,8.0,online,8,Mathematics,1,Python,3
student 5858,87637,C++ Programming,Graphic Designing,UAE,Gulf Indian High School,Male,9.0,hybrid,8,Science,1,AI,4
student 5859,74392,3D Designing,Technology Innovative Learning,Turkey,Gulf Indian High School,Male,9.0,offline,48,Art,3,Game Development,5
student 5860,90953,STEM Jr,3D Designing & Modelling,Qatar,Gulf Indian High School,Female,8.0,hybrid,8,Music,1,Technology Innovative Learning,3
student 5861,47040,Virtual Robotics,Game Development - Microsoft Arcade,Oman,English Language Private School,Female,8.0,offline,48,Technology,3,Python,3
student 5862,90890,Game Development - Block-Based,C Programming,Jordan,English Language Private School,Male,7.0,hybrid,24,Sports,2,App Development,4
student 5863,28057,Metaverse,Artificial Intelligence,Egypt,Gulf Indian High School,Female,9.0,hybrid,8,Music,1,Python,3
student 5864,98377,Young Designer,Robotics,Egypt,English Language Private School,Male,9.0,offline,24,Technology,2,Coding for kids,5
student 5865,82109,Game Development - Block-Based,Design Thinking and Entrepreneur Program,Qatar,English Language Private School,Male,9.0,hybrid,48,Science,3,AI,4
student 5866,83319,Young Game Developer,Python Programming,Poland,Gulf Indian High School,Female,8.0,offline,48,Mathematics,3,Python,4
student 5867,92521,Design Thinking and Entrepreneur Program,Metaverse,United Kingdom,English Language Private School,Female,8.0,offline,48,Art,3,AI,3
student 5868,45865,C Programming,Space STEM,Srilanka,English Language Private School,Female,8.0,online,48,Mathematics,3,AI,4
student 5869,33905,STEM Jr,Graphic Designing,Pakistan,English Language Private School,Male,10.0,offline,24,Music,2,Graphics Designing,4
student 5870,64643,Game and App Development,Robotics,Nigeria,Gulf Indian High School,Female,8.0,hybrid,48,Science,3,AI,4
student 5871,67602,Game Development,LEGO Robotics,Ukraine,English Language Private School,Male,9.0,online,8,Art,1,App Development,4
student 5872,86884,STEM Jr,Graphic Designing,Malaysia,English Language Private School,Female,8.0,online,48,Mathematics,3,Game Development,5
student 5873,97349,Young Designer,French Language Course,Taiwan,English Language Private School,Female,8.0,offline,24,Science,2,Python,4
student 5874,51054,Web Development,HTML Programming,Uganda,English Language Private School,Female,8.0,offline,24,Technology,2,Python,5
student 5875,60167,Data Analysis with Python,Artificial Intelligence of Things (AIoT),United Arab Emirates,English Language Private School,Female,9.0,offline,48,Art,3,Graphics Designing,4
student 5876,65953,Young Web Developer,Web Development,Iraq,Gulf Indian High School,Female,8.0,online,24,Music,2,Coding for kids,5
student 5877,78500,Young Game Developer,Robotics,Korea,Gulf Indian High School,Male,9.0,offline,96,Science,4,Coding for kids,4
student 5878,49028,Game Development with Unity,Web Development,Cook Islands,Gulf Indian High School,Male,8.0,offline,48,Art,3,Robotics Innovative Learning,4
student 5879,93664,Young App Developer,Graphic Designing,New Zealand,Gulf Indian High School,Male,8.0,offline,24,Mathematics,2,App Development,5
student 5880,16444,Public Speaking & Entrepreneurship,Artificial Intelligence,UAE,Gulf Indian High School,Male,8.0,hybrid,24,Science,2,Graphics Designing,4
student 5881,34108,VEX Robotics,STEM Jr,USA,Gulf Indian High School,Female,8.0,hybrid,24,Technology,2,Coding for kids,5
student 5882,14629,Young Entrepreneur,Young Data Scientist,Bahrain,Gulf Indian High School,Male,8.0,hybrid,48,Science,3,Robotics Innovative Learning,3
student 5883,10479,Python Programming,Design Thinking and Entrepreneur Program,Iran (Islamic Republic of),Gulf Indian High School,Male,7.0,offline,24,Science,2,Python,5
student 5884,61564,Game Development,Data Analysis with Python,UAE,Gulf Indian High School,Female,8.0,offline,48,Art,3,App Development,3
student 5885,76541,VEX Robotics,Game Development,Ukraine,Gulf Indian High School,Male,8.0,offline,96,Science,4,Python,3
student 5886,91069,Young Innovator,Artificial Intelligence,Russia,Gulf Indian High School,Male,9.0,online,24,Music,2,Robotics Innovative Learning,3
student 5887,45530,Graphic Designing,Python Programming,Uganda,Gulf Indian High School,Female,8.0,hybrid,48,Technology,3,Technology Innovative Learning,5
student 5888,24674,Young Data Scientist,C Programming,Turkey,Gulf Indian High School,Female,8.0,offline,24,Music,2,Game Development,3
student 5889,25746,Python Programming,Python Programming,Cook Islands,Gulf Indian High School,Male,10.0,offline,48,Sports,3,Coding for kids,5
student 5890,70352,Web Development,Web Development,Venezuela,Gulf Indian High School,Female,8.0,offline,8,Technology,1,Python,3
student 5891,79945,JAVA,Web Development,Ireland,Gulf Indian High School,Female,8.0,hybrid,24,Art,2,Graphics Designing,5
student 5892,86396,Artificial Intelligence,App Development,IndiaSpain,Gulf Indian High School,Female,8.0,online,48,Music,3,3D Designing,3
student 5893,91712,Augmented & Virtual Reality,Young Honcho,Malaysia,Gulf Indian High School,Male,8.0,online,24,Technology,2,AI,4
student 5894,52197,STEM Sr,Young Designer,United States,Gulf Indian High School,Female,7.0,hybrid,48,Art,3,3D Designing,4
student 5895,10888,Electronics Program,Virtual Robotics & Mechatronics,Nigeria,Gulf Indian High School,Male,8.0,online,24,Technology,2,Graphics Designing,4
student 5896,93235,Web Development,Drone Technology,Pakistan,Gulf Indian High School,Male,8.0,online,24,Music,2,Coding for kids,3
student 5897,41577,Virtual Robotics,Virtual Robotics & Mechatronics,India,Gulf Indian High School,Male,8.0,offline,48,Science,3,Technology Innovative Learning,4
student 5898,89128,Graphic Designing & Animation,Artificial Intelligence,Armenia,Gulf Indian High School,Female,7.0,online,48,Mathematics,3,App Development,5
student 5899,49964,Young Product Designer,Artificial Intelligence,Uruguay,Gulf Indian High School,Female,9.0,online,48,Technology,3,Python,4
student 5900,27553,3D Designing & Modelling,Young Product Designer,Iraq,Gulf Indian High School,Female,9.0,online,24,Mathematics,2,Technology Innovative Learning,4
student 5901,49538,Virtual Robotics & Mechatronics,Graphic Designing,Kuwait,Gulf Indian High School,Male,10.0,offline,48,Technology,3,3D Designing,5
student 5902,33468,Augmented & Virtual Reality,JAVA,Srilanka,Gulf Indian High School,Female,8.0,online,24,Technology,2,App Development,4
student 5903,14135,Graphic Designing & Animation,Python Programming,New Zealand,Gulf Indian High School,Male,10.0,hybrid,8,Mathematics,1,Python,4
student 5904,98941,Virtual Robotics & Mechatronics,C++ Programming,Ukraine,Gulf Indian High School,Female,8.0,offline,48,Technology,3,3D Designing,3
student 5905,50246,Game Development,Artificial Intelligence of Things (AIoT),IndiaSpain,Gulf Indian High School,Female,9.0,hybrid,24,Music,2,App Development,3
student 5906,15138,Artificial Intelligence & Machine Learning,Graphic Designing,Uganda,Gulf Indian High School,Female,9.0,hybrid,24,Mathematics,2,Robotics Innovative Learning,4
student 5907,93838,STEM Sr,3D Designing & Modelling,Korea,Gulf Indian High School,Female,7.0,online,48,Science,3,Python,5
student 5908,70262,Robotics,Data Science,Qatar,Gulf Indian High School,Male,7.0,offline,48,Music,3,App Development,5
student 5909,22764,Young App Developer,Game Development - Microsoft Arcade,Saudi Arabia,Gulf Indian High School,Male,7.0,online,48,Technology,3,Robotics Innovative Learning,4
student 5910,57507,Web Development,Graphic Designing,India,Gulf Indian High School,Male,9.0,offline,24,Sports,2,Coding for kids,3
student 5911,54998,Young Honcho,Graphic Designing & Animation,Cuba,Gulf Indian High School,Female,7.0,offline,24,Science,2,Game Development,5
student 5912,64751,VEX Robotics,Space STEM,Uganda,Gulf Indian High School,Male,8.0,online,24,Art,2,Robotics Innovative Learning,3
student 5913,30117,Robotics,Public Speaking & Entrepreneurship,Kuwait,Gulf Indian High School,Male,9.0,hybrid,96,Science,4,App Development,3
student 5914,46324,Robotics,Artificial Intelligence & Machine Learning,Bahrain,Gulf Indian High School,Female,9.0,online,48,Art,3,Technology Innovative Learning,5
student 5915,66032,Virtual Robotics,3D Designing,Ireland,Gulf Indian High School,Female,7.0,online,24,Science,2,Python,4
student 5916,91287,Young Entrepreneur,Young Web Developer,Singapore,Gulf Indian High School,Male,9.0,online,24,Sports,2,Coding for kids,3
student 5917,61677,Electronics Program,Data Analysis with Python,Bosnia and Herzegovina,Gulf Indian High School,Female,8.0,hybrid,96,Music,4,App Development,4
student 5918,82295,App Development,Arduino,Cuba,Gulf Indian High School,Female,7.0,offline,24,Science,2,Robotics Innovative Learning,4
student 5919,31395,Python Programming,Young Product Designer,India,Gulf Indian High School,Male,9.0,offline,24,Art,2,Python,4
student 5920,56047,Game and App Development,Young Entrepreneur,Kuwait,Gulf Indian High School,Female,7.0,online,24,Sports,2,Technology Innovative Learning,5
student 5921,24301,3D Designing and Printing,Robotics,India,English Language Private School,Male,6.0,online,48,Music,3,AI,5
student 5922,71291,Young Entrepreneur,Metaverse,United States,English Language Private School,Female,6.0,offline,24,Sports,2,Robotics Innovative Learning,4
student 5923,23676,Game Development,Virtual Robotics & Mechatronics,Malaysia,English Language Private School,Female,6.0,offline,24,Technology,2,Coding for kids,4
student 5924,66665,Artificial Intelligence for Non Programmers,Robotics,United Kingdom,Gulf Indian High School,Female,7.0,hybrid,96,Technology,4,Python,4
student 5925,90527,Young Designer,JAVA,Switzerland,Gulf Indian High School,Male,7.0,hybrid,24,Sports,2,Graphics Designing,5
student 5926,71407,Game Development - Block-Based,Graphic Designing,Kuwait,English Language Private School,Female,6.0,hybrid,48,Sports,3,Python,3
